network_definition,setting,evidence_view,physical_level,physical_projection_setting,rank_corr_dominant_support,rank_corr_effective_num,target_quadrant_jaccard,target_quadrant_recall,quadrant_agreement_rate,interpretation
application_observation_supplementary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9166666666666666,0.9166666666666666,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
application_observation_supplementary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
application_observation_supplementary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
application_observation_supplementary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,0.9166666666666666,0.9166666666666666,1.0,tests whether mismatch persists under high-confidence observations
application_observation_supplementary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.697387062496702,0.7983687205222577,0.5,0.6666666666666666,0.8160919540229885,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
application_observation_supplementary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.6967507370173774,0.79669619278169,0.5,0.6666666666666666,0.8160919540229885,tests whether mismatch persists after aggregating parallel candidates into corridors
application_observation_supplementary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.6952469155686497,0.7974205912558685,0.5,0.6666666666666666,0.8160919540229885,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
application_observation_supplementary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.6849158880154854,0.7912124651518307,0.375,0.5,0.813953488372093,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_egress_primary,as_only_cable,as_only,cable,cable_candidates,0.9989179385287731,0.999573611611938,0.9166666666666666,0.9166666666666666,0.9770114942528736,tests whether network-physical mismatch is stable under AS-economic evidence only
as_egress_primary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,baseline dual-core cable-level view
as_egress_primary,geo_only_cable,geo_only,cable,cable_candidates,0.9989317366033346,0.9997982687793426,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_egress_primary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9822966378046809,0.9952836726100907,0.9166666666666666,0.9166666666666666,0.9883720930232558,tests whether mismatch persists under high-confidence observations
