unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,best_case_physical_candidate_diversity_upper_bound,physical_candidate_concentration_tier,is_physical_candidate_concentrated,physical_candidate_exposure_class,sufficient_observation_for_physical_concentration,concentration_interpretation,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_physical_compression_tier,joint_cross_layer_risk_class,is_network_physical_mismatch,is_physical_candidate_concentration_only,is_joint_physical_concentration_and_mismatch,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier,paper_case_scope
NA,ZA,msm_5004,5004,root_dns_traces.json,1,10,6,1,0,0,0,0,0.0,0.0,7,1.8397895868412517,6.295213525897714,6.295213525897714,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,6.295213525897714,1.2940712711574776,0.15885084689917603,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9613636363636363,0.11079545454545454,46.0,True,network_high_physical_upper_low,16.271109638736306,0.8695652173913043,high,paper_service_country_cross_layer_audit
NA,CH,msm_5012,5012,root_dns_traces.json,1,67,18,1,0,0,0,0,0.0,0.0,23,2.255220834672339,9.537399266046043,9.537399266046043,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,4.768699633023021,1.256318475045587,0.2097007731573293,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9931818181818182,0.29375,73.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high,paper_service_country_cross_layer_audit
NA,LI,MULTI,MULTI,root_dns_traces.json,13,7,7,1,102,7,12,14,2.2271086296967177,9.273015558981578,15,2.155446347139462,8.63174207264664,9.273015558981578,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,4.636507779490789,1.2309083201157878,0.2156795690979788,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9310344827586207,0.1724137931034483,24.0,True,network_high_physical_upper_low,7.58132308425664,0.5217391304347826,medium,paper_country_cross_layer_audit
NA,CH,msm_5010,5010,root_dns_traces.json,1,73,20,1,0,0,0,0,0.0,0.0,21,2.195758221759455,8.986812470975467,8.986812470975467,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,4.4934062354877335,1.2026531811036316,0.22254831804484193,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9886363636363636,0.29375,69.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high,paper_service_country_cross_layer_audit
NA,CH,msm_5006,5006,root_dns_traces.json,1,60,20,1,0,0,0,0,0.0,0.0,22,2.097614047284678,8.146709042880602,8.146709042880602,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,4.073354521440301,1.1147818584787286,0.24549790467204635,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9840909090909091,0.29375,65.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high,paper_service_country_cross_layer_audit
NA,CH,msm_5016,5016,root_dns_traces.json,1,71,20,1,0,0,0,0,0.0,0.0,21,1.98029372671012,7.244870684696083,7.244870684696083,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,3.6224353423480413,1.0109789831326548,0.27605737728690716,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.975,0.29375,57.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high,paper_service_country_cross_layer_audit
NA,CH,msm_5015,5015,root_dns_traces.json,1,107,18,1,0,0,0,0,0.0,0.0,19,1.7481612961551245,5.74403138765221,5.74403138765221,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,2.872015693826105,0.8100455861801945,0.34818751239753776,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9545454545454546,0.29375,39.0,False,network_high_physical_upper_low,19.17669877499184,0.9239130434782608,high,paper_service_country_cross_layer_audit
NA,ES,msm_5001,5001,root_dns_traces.json,1,10,4,1,10,4,3,4,1.2206072645530173,3.389245277339831,4,1.2206072645530173,3.389245277339831,3.389245277339831,corridor,3,1,3.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,3.389245277339831,0.7860101131460328,0.2950509385336919,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.8392045454545455,0.11079545454545454,-45.0,True,network_high_physical_upper_low,18.4605300158446,0.907608695652174,high,paper_service_country_cross_layer_audit
NA,ZA,msm_5013,5013,root_dns_traces.json,1,6,4,1,0,0,0,0,0.0,0.0,4,1.2206072645530173,3.389245277339831,3.389245277339831,corridor,1,1,1.0,1.0,1.0,1.0,severe_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,3.389245277339831,0.7860101131460328,0.2950509385336919,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.8392045454545455,0.11079545454545454,-45.0,True,network_high_physical_upper_low,16.271109638736306,0.8695652173913043,high,paper_service_country_cross_layer_audit
NA,LI,msm_5001,5001,root_dns_traces.json,1,5,5,1,10,5,5,5,1.6094379124341005,5.000000000000001,5,1.5607104090414063,4.762203155904597,5.000000000000001,corridor,2,2,2.0,2.0,2.0,2.0,moderate_physical_candidate_concentration,True,concentrated_best_case_physical_candidate_space,True,auditable_physical_candidate_concentration,2.5000000000000004,0.6931471805599454,0.3999999999999999,moderate_compression,moderate_network_physical_compression,physical_concentration_with_network_physical_compression,True,False,True,0.9278409090909091,0.29375,18.0,False,network_high_physical_upper_low,7.58132308425664,0.5217391304347826,medium,paper_service_country_cross_layer_audit
