country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",34.0,34,34,21,12,6,13,7,0.8947368421052632,1,True,False,False,34.0,0.0
AE,landing_region_1392e3aea9b8::landing_region_d0ecf913edd7,"Fujairah, United Arab Emirates -> Katong, Singapore",2.0,2,2,2,1,1,13,7,0.05263157894736842,2,False,True,False,0.0,2.0
AE,landing_region_6fa1e5de30e2::landing_region_8dc97f28b4d0,"Al Seeb, Oman -> Sharjah, United Arab Emirates",2.0,2,2,2,1,1,13,7,0.05263157894736842,3,False,False,True,0.0,2.0
AO,landing_region_593e1abfd2fb::landing_region_a33078e57a08,"Sangano, Angola -> Fortaleza, Brazil",6.0,6,6,6,6,3,6,3,1.0,1,True,False,False,0.0,6.0
AU,landing_region_58084817cbe7::landing_region_ea9847129f13,"Paddington, NSW, Australia -> Maruyama, Japan",422.0,422,422,419,223,61,268,78,0.679549114331723,1,True,False,False,0.0,422.0
AU,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",39.5,78,78,71,46,21,268,78,0.06360708534621579,2,False,True,False,39.5,0.0
AU,landing_region_58084817cbe7::landing_region_cf432e5aaa09,"Paddington, NSW, Australia -> Torquay, VIC, Australia",38.5,77,77,70,45,21,268,78,0.061996779388083734,3,False,False,True,38.5,0.0
AU,landing_region_58084817cbe7::landing_region_b3ff0e144e34,"Paddington, NSW, Australia -> Maroochydore, QLD, Australia",26.0,26,26,25,16,9,268,78,0.04186795491143317,4,False,False,False,26.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",22.0,22,22,22,16,10,268,78,0.03542673107890499,5,False,False,False,22.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",21.0,21,21,21,13,9,268,78,0.033816425120772944,6,False,False,False,21.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_cf432e5aaa09,"Perth, WA, Australia -> Torquay, VIC, Australia",18.0,18,18,18,11,7,268,78,0.028985507246376812,7,False,False,False,18.0,0.0
AU,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",16.0,16,16,14,9,7,268,78,0.02576489533011272,8,False,False,False,16.0,0.0
AU,landing_region_b204db5c9fda::landing_region_cf432e5aaa09,"Adelaide, SA, Australia -> Torquay, VIC, Australia",10.0,10,10,10,6,5,268,78,0.01610305958132045,9,False,False,False,10.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_d0ecf913edd7,"Perth, WA, Australia -> Katong, Singapore",8.0,8,8,8,6,4,268,78,0.01288244766505636,10,False,False,False,0.0,8.0
AX,landing_region_3eb4f4d89687::landing_region_f4011a851fe0,"Hamnäs, Finland -> Östhammar, Sweden",5.0,6,6,2,1,1,1,1,0.8333333333333334,1,True,False,False,4.0,1.0
AX,landing_region_3eb4f4d89687::landing_region_71db3ba08a92,"Hamnäs, Finland -> Stockholm, Sweden",1.0,2,2,2,1,1,1,1,0.16666666666666666,2,False,True,False,0.0,1.0
BH,landing_region_08ea81d123b5::landing_region_445416594174,"Marseille, France -> Amwaj Island, Bahrain",7.0,7,7,7,4,1,4,1,1.0,1,True,False,False,0.0,7.0
BR,landing_region_0c894d5ef6d3::landing_region_5113b57f1083,"Dania Beach, FL, United States -> Praia Grande, Brazil",62.0,62,62,62,35,17,69,29,0.4806201550387597,1,True,False,False,0.0,62.0
BR,landing_region_0c894d5ef6d3::landing_region_a33078e57a08,"Dania Beach, FL, United States -> Fortaleza, Brazil",55.0,55,55,55,31,10,69,29,0.4263565891472868,2,False,True,False,0.0,55.0
BR,landing_region_38c81e7bfa6f::landing_region_5113b57f1083,"Porto Alegre, Brazil -> Praia Grande, Brazil",3.0,3,3,3,2,2,69,29,0.023255813953488372,3,False,False,True,3.0,0.0
BR,landing_region_5113b57f1083::landing_region_7f124bf07cd8,"Praia Grande, Brazil -> Rio de Janeiro, Brazil",3.0,3,3,3,2,2,69,29,0.023255813953488372,4,False,False,False,3.0,0.0
BR,landing_region_5113b57f1083::landing_region_a33078e57a08,"Praia Grande, Brazil -> Fortaleza, Brazil",2.0,2,2,2,1,1,69,29,0.015503875968992248,5,False,False,False,2.0,0.0
BR,landing_region_a33078e57a08::landing_region_e7752fc032df,"Fortaleza, Brazil -> Salvador, Brazil",2.0,2,2,2,1,1,69,29,0.015503875968992248,6,False,False,False,2.0,0.0
BR,landing_region_0c894d5ef6d3::landing_region_e7752fc032df,"Dania Beach, FL, United States -> Salvador, Brazil",1.0,1,1,1,1,1,69,29,0.007751937984496124,7,False,False,False,0.0,1.0
BR,landing_region_38c81e7bfa6f::landing_region_7f124bf07cd8,"Porto Alegre, Brazil -> Rio de Janeiro, Brazil",1.0,1,1,1,1,1,69,29,0.007751937984496124,8,False,False,False,1.0,0.0
CA,landing_region_ad2e1f237edf::landing_region_df3d1db01d0e,"Buffalo, NY, United States -> Toronto, ON, Canada",71.0,71,71,69,39,11,94,22,0.4176470588235294,1,True,False,False,4.0,67.0
CA,landing_region_5f578929a68a::landing_region_94c53aa4a6d7,"Harbour Pointe, WA, United States -> Vancouver, BC, Canada",19.0,76,76,76,47,11,94,22,0.11176470588235295,2,False,True,False,0.0,19.0
CA,landing_region_5f578929a68a::landing_region_f41a83b9b5b3,"Harbour Pointe, WA, United States -> Cordova Bay, BC, Canada",19.0,76,76,76,47,11,94,22,0.11176470588235295,3,False,False,True,0.0,19.0
CA,landing_region_94c53aa4a6d7::landing_region_fee5a5fdbba8,"Vancouver, BC, Canada -> Cama Beach, WA, United States",19.0,76,76,76,47,11,94,22,0.11176470588235295,4,False,False,False,0.0,19.0
CA,landing_region_f41a83b9b5b3::landing_region_fee5a5fdbba8,"Cordova Bay, BC, Canada -> Cama Beach, WA, United States",19.0,76,76,76,47,11,94,22,0.11176470588235295,5,False,False,False,0.0,19.0
CA,landing_region_36777aea9ef0::landing_region_5e0dbaabe44b,"Halifax, NS, Canada -> Lynn, MA, United States",2.0,2,2,2,1,1,94,22,0.011764705882352941,6,False,False,False,0.0,2.0
CA,landing_region_19da5dac2df8::landing_region_4da2bf713882,"Eastbourne, BC, Canada -> Bowser, BC, Canada",1.81991341991342,21,21,21,11,2,94,22,0.010705373058314234,7,False,False,False,1.81991341991342,0.0
CA,landing_region_19da5dac2df8::landing_region_70abce74b352,"Eastbourne, BC, Canada -> Snaw-naw-as, BC, Canada",1.81991341991342,21,21,21,11,2,94,22,0.010705373058314234,8,False,False,False,1.81991341991342,0.0
CA,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,"Eastbourne, BC, Canada -> Vancouver, BC, Canada",1.81991341991342,21,21,21,11,2,94,22,0.010705373058314234,9,False,False,False,1.81991341991342,0.0
CA,landing_region_19da5dac2df8::landing_region_ed5425cf5b7d,"Eastbourne, BC, Canada -> Powell River, BC, Canada",1.81991341991342,21,21,21,11,2,94,22,0.010705373058314234,10,False,False,False,1.81991341991342,0.0
CA,landing_region_4da2bf713882::landing_region_70abce74b352,"Bowser, BC, Canada -> Snaw-naw-as, BC, Canada",1.81991341991342,21,21,21,11,2,94,22,0.010705373058314234,11,False,False,False,1.81991341991342,0.0
